Statistics_period,Domestic_vehicles,Imported_vehicles
2014Q1,60248,35640
2014Q2,62659,41207
2014Q3,56910,28154
2014Q4,55663,41234
2015Q1,67832,43101
2015Q2,54858,42028
2015Q3,45224,32593
2015Q4,44322,47211
2016Q1,54603,44204
2016Q2,60999,46368
2016Q3,42600,34763
2016Q4,47890,50580
2017Q1,59283,47061
2017Q2,47438,46260
2017Q3,42164,36134
2017Q4,46086,55758
2018Q1,53367,53248
2018Q2,45517,49949
2018Q3,36054,36929
2018Q4,37015,56066
2019Q1,36202,48958
2019Q2,43798,51770
2019Q3,36618,44297
2019Q4,42874,56122
2020Q1,35385,48155
2020Q2,37880,50523
2020Q3,36887,52693
2020Q4,49381,64834
2021Q1,51796,55270
2021Q2,38914,46997
2021Q3,35146,48935
2021Q4,42857,52997
2022Q1,43684,47422
2022Q2,33571,44557
2022Q3,37673,45781
2022Q4,41677,55774
2023Q1,43608,60781
2023Q2,43929,63407
2023Q3,43128,54422
2023Q4,46819,67823
2024Q1,48978,64880
2024Q2,45087,54951
2024Q3,34728,51027
2024Q4,37940,62642
2025Q1,34332,58114
2025Q2,32413,57092
2025Q3,20891,53243
